name;date(date_from);time(date_from);date(date_to);time(date_to);granularity;line_name;fw_count;bw_count
xovis-0floor;2023-05-04;20:00:00;2023-05-04;21:00:00;3600;Вход в цоколе;3;5
xovis-0floor;2023-05-04;21:00:00;2023-05-04;22:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;22:00:00;2023-05-04;23:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;23:00:00;2023-05-05;00:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;00:00:00;2023-05-05;01:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;01:00:00;2023-05-05;02:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;02:00:00;2023-05-05;03:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;03:00:00;2023-05-05;04:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;04:00:00;2023-05-05;05:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;05:00:00;2023-05-05;06:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;06:00:00;2023-05-05;07:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;07:00:00;2023-05-05;08:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;08:00:00;2023-05-05;09:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;09:00:00;2023-05-05;10:00:00;3600;Вход в цоколе;3;0
xovis-0floor;2023-05-05;10:00:00;2023-05-05;11:00:00;3600;Вход в цоколе;13;8
xovis-0floor;2023-05-05;11:00:00;2023-05-05;12:00:00;3600;Вход в цоколе;14;12
xovis-0floor;2023-05-05;12:00:00;2023-05-05;13:00:00;3600;Вход в цоколе;22;26
xovis-0floor;2023-05-05;13:00:00;2023-05-05;14:00:00;3600;Вход в цоколе;15;14
xovis-0floor;2023-05-05;14:00:00;2023-05-05;15:00:00;3600;Вход в цоколе;17;13
xovis-0floor;2023-05-05;15:00:00;2023-05-05;16:00:00;3600;Вход в цоколе;11;16
xovis-0floor;2023-05-05;16:00:00;2023-05-05;17:00:00;3600;Вход в цоколе;10;13
xovis-0floor;2023-05-05;17:00:00;2023-05-05;18:00:00;3600;Вход в цоколе;9;13
